feature,importance
has_end_coords,29863.30078125
displacement_km,9499.679696689476
hour,424.92530357837677
event_cause,268.68798828125
events_in_corridor_24h,180.22291343659163
police_station,137.76499938964844
month,94.11650085449219
day_of_week,61.1260986328125
events_in_corridor_1h,59.63777017593384
event_type,49.735599517822266
vehicle_event_count,0.1625704183243215
corridor_clean,0.0
zone,0.0
veh_type,0.0
is_rush_hour,0.0
is_weekend,0.0
time_bucket,0.0
is_on_corridor,0.0
cause_severity,0.0
is_repeat_vehicle,0.0
priority_binary,0.0
