corridor,event_count,ema_risk,closure_prob,severity_input
tumkur road,314,44.786967909582145,0.03164556962025317,43.39417024009241
mysore road,485,47.1904768591663,0.08624229979466119,45.71304829001089
non-corridor,1960,35.81115823339127,0.09582059123343527,30.84289622812168
bannerghata road,132,42.71091882104384,0.022388059701492536,41.42284929550352
non-corridor,1961,35.64023062784273,0.09577177789098319,34.10188217790588
bellary road 2,293,47.70234118740697,0.03728813559322034,49.23062538427961
non-corridor,1962,34.45550448448456,0.09572301425661914,23.792969194260955
non-corridor,1963,33.38934893919643,0.09567430025445292,23.793949031603315
orr north 2,154,46.046359561241665,0.0641025641025641,44.54353317079685
hennur main road,71,45.70730721379822,0.0410958904109589,44.080911648839084
old madras road,169,43.81760244921545,0.023391812865497075,40.639960447312454
bannerghata road,133,43.25711186848981,0.022222222222222223,48.17284929550352
hosur road,221,44.290383294909304,0.05829596412556054,37.36888358532038
varthur road,49,45.43876808615486,0.11764705882352941,39.664338100791184
hosur road,222,44.166903616696,0.05803571428571429,43.05558651277623
non-corridor,1964,32.97032290708407,0.09562563580874874,29.19908861807281
non-corridor,1965,32.75758023918783,0.09557702084392476,30.84289622812168
old madras road,170,43.59790588007289,0.023255813953488372,41.6206367577898
non-corridor,1966,33.095219411398034,0.09552845528455285,36.133971961289845
west of chord road,98,45.552659780523314,0.07,46.328984059164256
hosur road,223,44.42300438638701,0.057777777777777775,46.7279113136061
non-corridor,1967,33.73019054863152,0.09547993905535805,39.44493078373289
bellary road 2,294,47.55665418749486,0.037162162162162164,46.24547118828582
mysore road,486,47.07485190482267,0.0860655737704918,46.03422731572999
mysore road,487,48.85538213505781,0.08588957055214724,64.88015420717399
tumkur road,315,45.0747006636272,0.031545741324921134,47.664295450032625
orr east 2,113,47.29117500152362,0.02608695652173913,56.11921201759537
non-corridor,1968,33.94146111658054,0.09543147208121827,35.84289622812168
non-corridor,1969,34.13160462773466,0.09538305428716387,35.84289622812168
non-corridor,1970,34.30273378777336,0.09533468559837728,35.84289622812168
non-corridor,1971,34.443473093778664,0.0952863659401926,35.710126847826366
bellary road 1,408,47.63101055036849,0.04878048780487805,58.30695790407413
orr west 1,114,44.523813667001875,0.034482758620689655,43.50413288276182
non-corridor,1972,36.2491257844008,0.09523809523809523,52.5
old madras road,171,44.06419802760225,0.023121387283236993,48.26082735536653
cbd 2,70,47.79505471027285,0.09722222222222222,43.35102562805464
hosur road,224,44.15349507910892,0.05752212389380531,41.7279113136061
mysore road,488,48.292148965081594,0.08571428571428572,43.22305043529567
orr north 2,155,45.596076922197184,0.06369426751592357,41.54353317079684
bellary road 2,295,48.51932601313022,0.037037037037037035,57.18337244384848
non-corridor,1973,35.926452078673506,0.09518987341772152,33.02238872712782
non-corridor,1974,35.41809649361832,0.0951417004048583,30.84289622812168
bannerghata road,134,43.07368561119118,0.022058823529411766,41.42284929550352
bellary road 2,296,47.87002027901421,0.03691275167785235,42.02626867197016
non-corridor,1975,34.96057646706866,0.09509357612544259,30.84289622812168
tumkur road,316,44.794999938480935,0.031446540880503145,42.27769341216459
non-corridor,1976,34.93797650754367,0.09504550050556117,34.73457687181869
orr north 2,156,45.49082254705716,0.06329113924050633,44.54353317079685
hennur main road,72,45.544667657302305,0.04054054054054054,44.080911648839084
orr north 1,174,46.619074578667195,0.07954545454545454,41.657512386351655
varthur road,50,45.562049461392746,0.11538461538461539,46.67158183853371
hennur main road,73,45.130369612164706,0.04,41.40168720592634
magadi road,159,46.19526623648263,0.055900621118012424,48.327056469489435
orr north 1,175,46.122918359435644,0.07909604519774012,41.657512386351655
non-corridor,1977,34.781684204913475,0.09499747347145023,33.375053481241714
non-corridor,1978,34.93587304753826,0.09494949494949495,36.32357263116129
orr north 1,176,45.408464571682245,0.07865168539325842,38.97838048190167
old madras road,172,43.77499329748933,0.022988505747126436,41.17215072647302
bellary road 2,297,47.93383869039029,0.03678929765886288,48.508204392775006
non-corridor,1979,34.5265753655966,0.09490156486622918,30.84289622812168
old airport road,52,47.91635347716144,0.09259259259259259,61.01051272158464
old airport road,53,48.20076940160376,0.09090909090909091,50.76051272158464
hosur road,225,44.712236999334294,0.05726872246696035,49.74091428136262
orr north 1,177,45.53336935314919,0.0782122905027933,46.657512386351655
hosur road,226,44.91380443076148,0.05701754385964912,46.7279113136061
hosur road,227,46.15440440990272,0.056768558951965066,57.31980422217382
non-corridor,1980,34.512143807564456,0.09485368314833502,34.382259785275124
orr east 2,114,46.149744605012955,0.02586206896551724,35.87687103641696
bellary road 1,409,50.9576513659317,0.051094890510948905,80.89741870600066
bellary road 1,410,52.13591772275077,0.05339805825242718,62.74031493412237
orr north 2,157,45.36463390464592,0.06289308176100629,44.228936122944816
tumkur road,317,44.5432692858493,0.03134796238244514,42.27769341216459
non-corridor,1981,34.14521904962018,0.09480584972264246,30.84289622812168
